,cos_sim,cos_mo,cos_dif,cos_mo_dif,ele_sub
0,0.00674,0.0059,0.99326,0.9941,0.00934
1,-0.06479,-0.05743,0.93521,0.94257,0.01097
2,0.02651,0.02541,0.97349,0.97459,0.03559
3,-0.00867,-0.00758,0.99133,0.99242,0.02029
4,-0.09,-0.07904,0.91,0.92096,0.01182
5,0.01004,0.00871,0.98996,0.99129,0.00987
6,-0.04758,-0.04168,0.95242,0.95832,0.01079
7,0.0219,0.01973,0.9781,0.98027,0.02636
8,0.00692,0.00604,0.99308,0.99396,0.00906
9,-0.07109,-0.06284,0.92891,0.93716,0.01092
10,0.02602,0.02502,0.97398,0.97498,0.03527
11,-0.01233,-0.01086,0.98767,0.98914,0.02022
12,-0.08582,-0.07512,0.91418,0.92488,0.01179
13,0.036,0.03496,0.964,0.96504,0.02557
14,-0.04173,-0.03648,0.95827,0.96352,0.01051
15,0.01595,0.01415,0.98405,0.98585,0.02663
16,-0.03922,-0.03566,0.96078,0.96434,0.01118
17,0.04991,0.04521,0.95009,0.95479,0.00778
18,-0.00197,-0.00181,0.99803,0.99819,0.00827
19,-0.01827,-0.01657,0.98173,0.98343,0.00912
20,-0.01705,-0.01574,0.98295,0.98426,0.00886
21,0.00034,0.00031,0.99966,0.99969,0.00894
22,-0.03924,-0.03561,0.9607600000000001,0.96439,0.01135
23,0.03422,0.03093,0.96578,0.96907,0.00803
24,-0.00156,-0.00143,0.99844,0.99857,0.0084
25,-0.01698,-0.01538,0.98302,0.98462,0.00922
26,-0.0165,-0.0152,0.9835,0.9848,0.00899
27,0.00013,0.00012,0.99987,0.99988,0.00906
28,0.00491,0.00417,0.99509,0.99583,0.0095
29,-0.03307,-0.0286,0.96693,0.9714,0.01119
30,-0.00777,-0.00775,0.99223,0.99225,0.02793
31,-0.02534,-0.02194,0.97466,0.97806,0.0103
32,-0.03027,-0.02615,0.96973,0.97385,0.01226
33,-0.04211,-0.0364,0.95789,0.9636,0.01111
34,-0.01692,-0.0146,0.98308,0.9854,0.01119
35,0.00795,0.00687,0.99205,0.99313,0.00912
36,-0.03349,-0.03149,0.96651,0.96851,0.03324
37,-0.03365,-0.0326,0.96635,0.9674,0.03167
38,-0.03819,-0.03274,0.96181,0.96726,0.01133
39,0.00613,0.00524,0.99387,0.99476,0.0101
40,-0.00216,-0.00197,0.99784,0.99803,0.03845
41,0.00291,0.00247,0.99709,0.99753,0.00953
42,-0.03119,-0.02694,0.96881,0.97306,0.01126
43,-0.00958,-0.00955,0.99042,0.99045,0.02807
44,-0.02372,-0.02051,0.97628,0.97949,0.01033
45,-0.02789,-0.02406,0.97211,0.97594,0.0123
46,-0.03903,-0.03368,0.96097,0.96632,0.01116
47,-0.01553,-0.01338,0.98447,0.98662,0.01123
48,0.00606,0.00523,0.99394,0.99477,0.00915
49,-0.03315,-0.03125,0.96685,0.96875,0.03345
50,-0.03332,-0.03231,0.96668,0.96769,0.03193
51,-0.03594,-0.03076,0.96406,0.96924,0.01138
52,0.00509,0.00435,0.99491,0.99565,0.01015
53,-0.00347,-0.00315,0.99653,0.99685,0.03863
54,0.03234,0.02986,0.96766,0.97014,0.02046
55,-0.00692,-0.00636,0.99308,0.99364,0.02302
56,0.00703,0.006,0.99297,0.994,0.01055
57,-0.00553,-0.00473,0.99447,0.99527,0.01135
58,0.01369,0.01318,0.98631,0.98682,0.03164
59,-0.03037,-0.02558,0.96963,0.97442,0.01295
60,0.03221,0.02929,0.96779,0.97071,0.02041
61,0.001,0.00092,0.999,0.99908,0.02236
62,0.00702,0.00604,0.99298,0.99396,0.01051
63,-0.0067,-0.00577,0.9933,0.99423,0.01142
64,0.01193,0.01012,0.98807,0.98988,0.01009
65,-0.03044,-0.02587,0.96956,0.97413,0.01259
66,-0.0504,-0.04522,0.9496,0.95478,0.01065
67,0.02987,0.02715,0.97013,0.97285,0.02563
68,-0.05667,-0.05113,0.94333,0.94887,0.01124
69,0.00429,0.00381,0.99571,0.99619,0.00893
70,0.05831,0.05675,0.94169,0.94325,0.02907
71,0.02711,0.0242,0.97289,0.9758,0.01685
72,0.05558,0.04917,0.94442,0.95083,0.00802
73,0.05166,0.04871,0.94834,0.95129,0.02374
74,-0.00505,-0.00452,0.99495,0.99548,0.00997
75,-0.04997,-0.04477,0.95003,0.95523,0.0107
76,0.02787,0.02534,0.97213,0.97466,0.02582
77,-0.05681,-0.05119,0.94319,0.94881,0.01132
78,-0.00488,-0.00433,0.99512,0.99567,0.00914
79,0.05572,0.05423,0.94428,0.94577,0.02943
80,0.02426,0.02173,0.97574,0.97827,0.017
81,0.05352,0.04728,0.94648,0.95272,0.0081
82,0.04893,0.04628,0.95107,0.95372,0.02394
83,-0.00583,-0.00521,0.99417,0.99479,0.01005
84,-0.03084,-0.02605,0.96916,0.97395,0.00969
85,0.02984,0.02531,0.97016,0.9746900000000001,0.00841
86,-0.03972,-0.03353,0.96028,0.96647,0.01163
87,-0.01281,-0.01079,0.98719,0.98921,0.01007
88,-0.03017,-0.02518,0.96983,0.97482,0.01107
89,-0.01347,-0.01123,0.98653,0.98877,0.01067
90,0.00258,0.0022,0.99742,0.9978,0.00968
91,0.00857,0.0073,0.99143,0.9927,0.00964
92,-0.0272,-0.02284,0.9728,0.97716,0.01039
93,-0.04007,-0.03408,0.95993,0.96592,0.0106
94,-0.01992,-0.01667,0.98008,0.98333,0.01077
95,0.03611,0.03601,0.96389,0.96399,0.02913
96,-0.03732,-0.03151,0.96268,0.96849,0.01182
97,-0.01959,-0.01662,0.98041,0.98338,0.01137
98,-0.01787,-0.01504,0.98213,0.98496,0.01174
99,-0.02863,-0.02447,0.97137,0.97553,0.01141
100,-0.02919,-0.02475,0.97081,0.97525,0.00935
101,0.02616,0.02229,0.97384,0.97771,0.00785
102,-0.04003,-0.03393,0.95997,0.96607,0.01137
103,-0.0091,-0.00771,0.9909,0.99229,0.01031
104,-0.02492,-0.0209,0.97508,0.9791,0.01077
105,-0.01255,-0.01051,0.98745,0.98949,0.01066
106,0.00395,0.00339,0.99605,0.99661,0.00954
107,0.00927,0.00793,0.99073,0.99207,0.0094
108,-0.02611,-0.02202,0.97389,0.97798,0.01013
109,-0.03598,-0.03072,0.96402,0.96928,0.01026
110,-0.01113,-0.00936,0.98887,0.99064,0.01002
111,0.03277,0.03254,0.96723,0.96746,0.0286
112,-0.04434,-0.03764,0.95566,0.96236,0.01197
113,-0.02655,-0.02261,0.97345,0.97739,0.01139
114,-0.02219,-0.01876,0.97781,0.98124,0.01141
115,-0.02664,-0.02287,0.97336,0.97713,0.01133
116,0.0333,0.03254,0.9667,0.96746,0.02787
117,-0.01454,-0.01239,0.98546,0.98761,0.00962
118,0.01877,0.01857,0.98123,0.98143,0.02787
119,-0.03473,-0.02938,0.96527,0.97062,0.00968
120,0.0249,0.02124,0.9751,0.97876,0.00752
121,-0.04085,-0.03461,0.95915,0.96539,0.01154
122,-0.01422,-0.01204,0.98578,0.98796,0.01023
123,-0.02271,-0.01899,0.97729,0.98101,0.01077
124,-0.01145,-0.00958,0.98855,0.99042,0.01065
125,0.00839,0.00716,0.99161,0.99284,0.00961
126,0.00841,0.00718,0.99159,0.99282,0.00936
127,-0.02348,-0.01976,0.97652,0.98024,0.01129
128,-0.04129,-0.03497,0.95871,0.96503,0.01193
129,-0.02522,-0.02141,0.97478,0.97859,0.01133
130,-0.02045,-0.01725,0.97955,0.98275,0.01139
131,-0.02543,-0.0218,0.97457,0.9782,0.01127
132,0.04123,0.04018,0.95877,0.95982,0.02768
133,-0.0354,-0.03027,0.9646,0.96973,0.01039
134,-0.00903,-0.00761,0.99097,0.99239,0.01035
135,-0.00674,-0.00573,0.99326,0.99427,0.00892
136,0.02668,0.02282,0.97332,0.97718,0.00745
137,-0.04196,-0.03568,0.95804,0.96432,0.01194
138,-0.01904,-0.01618,0.98096,0.98382,0.00964
139,-0.02411,-0.02024,0.97589,0.97976,0.01083
140,-0.01802,-0.01514,0.98198,0.98486,0.01057
141,0.01221,0.01046,0.98779,0.98954,0.00957
142,0.01329,0.01139,0.98671,0.98861,0.00939
143,-0.02343,-0.01978,0.97657,0.98022,0.01088
144,-0.04774,-0.04061,0.95226,0.95939,0.01186
145,-0.02714,-0.02317,0.97286,0.97683,0.01153
146,-0.01811,-0.01535,0.98189,0.98465,0.0113
147,-0.02654,-0.02284,0.97346,0.97716,0.01116
148,0.03162,0.03102,0.96838,0.96898,0.02827
149,-0.0297,-0.02523,0.9703,0.97477,0.01039
150,0.00839,0.00827,0.99161,0.99173,0.02861
151,-0.01252,-0.01055,0.98748,0.98945,0.00946
152,0.03968,0.03379,0.96032,0.96621,0.00781
153,-0.04406,-0.03723,0.95594,0.96277,0.01191
154,-0.01293,-0.01091,0.98707,0.98909,0.0098
155,-0.02372,-0.01978,0.97628,0.98022,0.01095
156,-0.00897,-0.00748,0.99103,0.99252,0.01035
157,0.00506,0.00431,0.99494,0.99569,0.00978
158,0.00735,0.00626,0.99265,0.99374,0.00959
159,-0.02352,-0.01974,0.97648,0.98026,0.01127
160,-0.03465,-0.02926,0.96535,0.97074,0.01169
161,-0.01709,-0.01448,0.98291,0.98552,0.01133
162,-0.01364,-0.01148,0.98636,0.98852,0.0117
163,-0.02477,-0.02117,0.97523,0.97883,0.01129
164,-0.072,-0.05936,0.928,0.94064,0.01305
